pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbper,pl_insol,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass,habitability_score
G 261-6 b,1.1,1.37,0.02971,5.4536,1.8,322.3,0.0,2907.0,0.153162,0.118,0.7143999999999999
G 264-012 c,1.76,3.75,0.0525,8.0518,3.87,387.0,,3326.0,0.305,0.297,0.25
GJ 1002 b,1.03,1.08,0.0457,10.3465,0.67,230.9,,3024.0,0.137,0.12,0.8058000000000001
GJ 1002 c,1.1,1.36,0.0738,21.202,0.257,181.7,,3024.0,0.137,0.12,0.5828
GJ 251 b,1.79,3.85,0.0808,14.237,2.37,336.0,0.0,3342.0,0.36,0.35,0.346
GJ 251 c,1.8,3.88,0.196,53.647,0.404,216.0,0.0,3342.0,0.36,0.35,0.3768
GJ 3988 b,1.74,3.69,0.0405,6.9442,2.45,348.0,0.0,3273.0,0.19734,0.1842,0.33199999999999996
GJ 411 b,1.45,2.69,0.07879,12.9394,3.13,349.83,0.063,3719.0,0.3685,0.3899,0.41734000000000004
Gliese 12 b,0.958,3.87,0.0668,12.761408,1.62,314.6,0.5,3296.0,0.2617,0.2414,0.6144
K2-133 e,1.73,3.64,0.1346,26.5841,1.8,296.0,,3655.0,0.455,0.461,0.478
K2-155 d,1.9,4.27,0.1937,40.718,1.67,381.0,,4258.0,0.58,0.65,0.3
K2-3 c,1.582,2.68,0.1357,24.646729,3.17,371.8,0.048,3844.0,0.546,0.549,0.3479999999999999
K2-3 d,1.458,2.2,0.2014,44.55603,1.44,305.2,0.091,3844.0,0.546,0.549,0.666
Kepler-1040 b,2.08,4.98,0.67249,201.1214,2.121,300.0,0.0,5694.0,0.96,0.98,0.36
Kepler-1126 b,1.73,3.64,0.41251,108.593329,4.55,374.0,0.0,5798.0,0.93,0.92,0.28200000000000003
Kepler-1126 c,1.45,2.7,0.6193,199.66876,2.06,305.0,0.0,5678.0,0.921,0.794,0.506
Kepler-1177 b,1.9,4.27,0.4301,106.247547,11.862,377.0,0.0,5712.0,0.97,0.98,0.242
Kepler-1178 b,1.07,1.24,0.1596,31.80634,23.237,378.0,0.0,4990.0,0.75,0.8,0.582
Kepler-1185 b,1.33,2.33,0.4297,104.3518976,9.31,355.0,0.0,5622.0,0.87,0.96,0.46699999999999997
Kepler-1229 b,1.4,2.54,0.3006,86.828989,0.524,212.0,0.0,3784.0,0.51,0.54,0.5188
Kepler-138 d,1.51,2.1,0.1288,23.0923,3.4,345.0,0.01,3841.0,0.535,0.535,0.474
Kepler-138 e,0.797,0.43,0.1803,38.23,1.73,292.0,0.112,3841.0,0.535,0.535,0.7484000000000001
Kepler-1389 b,1.77,3.78,0.38249,99.2530951,1.871,300.0,0.0,5078.0,0.74,0.81,0.44780000000000003
Kepler-1410 b,1.78,3.82,0.2543,60.866168,1.06,290.0,0.0,4092.0,0.6,0.63,0.6279999999999999
Kepler-1450 b,1.71,3.57,0.2401,54.5094166,3.078,308.0,0.0,4524.0,0.68,0.71,0.418
Kepler-1459 b,1.36,2.42,0.2829,62.8691611,3.511,349.0,0.0,4828.0,0.74,0.78,0.4639999999999999
Kepler-1460 b,1.96,4.5,0.1614,29.9633247,5.469,391.0,0.0,4422.0,0.67,0.7,0.202
Kepler-1512 b,1.18,1.76,0.13693,20.35972599,1.6,322.0,0.0,4372.0,0.67,0.73,0.7
Kepler-1544 b,1.78,3.82,0.54465,168.811174,0.833,269.0,0.0,4886.0,0.74,0.81,0.5725999999999999
Kepler-1582 b,1.49,2.83,0.0316,4.83817712,2.5,354.0,0.0,3208.0,0.3,0.28,0.387
Kepler-1606 b,2.07,4.94,0.6421,196.435224,1.29,324.0,0.0,5422.0,0.86,0.9,0.45599999999999996
Kepler-1638 b,1.87,4.16,0.745,259.33683,2.76,304.0,0.0,5710.0,0.95,0.97,0.3939999999999999
Kepler-1646 b,1.23,2.04,0.0295,4.48558383,4.2,365.0,0.0,3299.0,0.26,0.24,0.496
Kepler-1649 b,1.017,1.03,0.0514,8.689099,2.208,307.0,0.0,3240.0,0.2317,0.1977,0.7556
Kepler-1649 c,1.06,1.2,0.0649,19.53527,0.75,234.0,0.0,3240.0,0.2317,0.1977,0.81
Kepler-1651 b,1.84,4.04,0.0692,9.87863917,5.65,393.0,0.13,3713.0,0.503,0.522,0.22199999999999998
Kepler-1652 b,1.6,3.19,0.1654,38.09722,0.81,268.0,0.0,3638.0,0.382,0.404,0.602
Kepler-174 c,1.49,2.83,0.214,44.000529,5.296,377.0,0.0,4880.0,0.622,0.602,0.34099999999999997
Kepler-176 e,1.45,0.52075,0.25654,51.16579,6.22,398.0,0.0,5295.0,0.83,0.87,0.44207500000000005
Kepler-1816 b,1.9679397,4.53,0.35647,91.50099945,2.0,310.0,0.0,5051.0,0.706,0.786,0.3624120599999999
Kepler-1853 b,1.51862272,2.92,0.2395,48.88819885,5.23,386.0,0.0,4821.0,0.788,0.765,0.308275456
Kepler-186 d,1.4,2.54,0.0781,13.342996,7.204,379.0,0.0,3788.0,0.472,0.478,0.38399999999999995
Kepler-186 e,1.27,2.15,0.11,22.407704,3.608,319.0,0.0,3788.0,0.472,0.478,0.569
Kepler-186 f,1.17,1.71,0.432,129.9441,0.3,177.0,0.04,3755.0,0.523,0.544,0.533
Kepler-1948 b,1.03283226,1.09,0.1022,15.57129955,5.98,399.0,0.0,3872.0,0.557,0.585,0.562433548
Kepler-2000 c,1.57,3.09,0.1228,20.6180348,3.92,359.0,0.0,3757.0,0.576,0.581,0.344
Kepler-205 c,1.64,3.33,0.122,20.306546,7.14,389.0,0.0,4321.0,0.546,0.592,0.27
Kepler-220 e,1.33,2.33,0.226,45.902733,4.274,341.0,0.0,4632.0,0.666,0.729,0.49499999999999994
Kepler-230 c,2.04,4.82,0.38,91.773242,2.976,359.0,0.0,5588.0,0.817,0.784,0.24999999999999994
Kepler-236 c,2.0,4.66,0.132,23.968127,3.802,329.0,0.0,3750.0,0.51,0.596005,0.318
Kepler-249 d,1.57,3.09,0.097,15.368459,4.474,332.0,0.0,3568.0,0.482,0.510238,0.39799999999999996
Kepler-260 c,1.74,3.68,0.332,76.050178,6.775,372.0,0.0,5250.0,0.862,1.013,0.2839999999999999
Kepler-283 c,1.82,3.97,0.341,92.743711,0.949,240.0,0.0,4351.0,0.566,0.596,0.5297999999999999
Kepler-296 e,1.53,2.96,0.169,34.14211,1.41,337.0,0.33,3740.0,0.48,0.498,0.518
Kepler-296 f,1.8,3.89,0.255,63.33627,0.62,274.0,0.33,3740.0,0.48,0.498,0.5359999999999999
Kepler-311 d,2.05,4.86,0.7326,232.040326,2.71,327.0,0.0,5903.0,1.156,0.974,0.31200000000000006
Kepler-327 d,1.73,3.64,0.09,13.969457,7.59,387.0,0.0,3799.0,0.492,0.591913,0.256
Kepler-331 d,1.64,3.33,0.159,32.134328,6.065,346.0,0.0,4347.0,0.492,0.653,0.356
Kepler-333 c,1.11,1.41,0.135,24.08821,7.049,386.0,0.0,4259.0,0.534,0.601,0.5409999999999999
Kepler-367 c,1.2,1.87,0.253,53.578637,3.761,357.0,0.0,4710.0,0.695,0.768,0.535
Kepler-369 c,1.41,2.57,0.094,14.871572,4.21,391.0,0.0,3591.0,0.471,0.5,0.3550000000000001
Kepler-395 c,1.32,2.3,0.177,34.989262,2.11,341.0,0.0,4262.0,0.556,0.622827,0.5
Kepler-438 b,1.12,1.46,0.166,35.23319,1.4,288.0,0.03,3748.0,0.52,0.544,0.85
Kepler-440 b,1.86,4.12,0.242,101.11141,1.2,229.0,0.34,4134.0,0.559,0.575,0.47
Kepler-441 b,1.64,3.33,0.64,207.2482,0.21,189.0,0.1,4340.0,0.55,0.572,0.316
Kepler-442 b,1.34,2.36,0.409,112.3053,0.66,241.0,0.04,4402.0,0.598,0.609,0.634
Kepler-445 d,1.25,2.1,0.0439,8.15275,4.314,305.0,0.0,3157.0,0.21,0.18,0.606
Kepler-452 b,1.63,3.29,1.046,384.843,1.1,265.0,0.0,5757.0,1.11,1.037,0.6080000000000001
Kepler-49 e,1.56,1.03815,0.116,18.596108,6.063,371.0,0.0,4252.0,0.559,0.549,0.518185
Kepler-504 b,1.59,3.15,0.0646,9.549275422,5.991,374.0,0.0,3519.0,0.33,0.33,0.30999999999999994
Kepler-54 c,1.23,0.7,0.0809,12.0717249,3.07,395.0,0.0,3705.0,0.5,0.51,0.51
Kepler-560 b,1.72,3.61,0.0899,18.47764449,2.46,298.0,0.17,3556.0,0.33,0.34,0.43599999999999994
Kepler-69 c,1.71,3.57,0.64,242.4613,2.687,299.0,0.14,5638.0,0.93,0.81,0.43599999999999994
Kepler-737 b,1.96,4.5,0.1422,28.59915399,2.297,298.0,0.0,3813.0,0.48,0.51,0.38799999999999996
Kepler-83 c,2.36,2.03,0.11796,20.09,5.9,362.0,0.0,4082.0,0.61,0.66,0.277
Kepler-833 b,2.02,4.74,0.1139,18.7546998,8.313,382.0,0.0,4339.0,0.62,0.64,0.20799999999999996
Kepler-834 b,2.02,4.74,0.0862,13.32388301,11.845,378.0,0.0,4554.0,0.66,0.7,0.21599999999999997
Kepler-988 b,2.07,4.94,0.1085,17.76080053,6.56,368.0,0.0,4005.0,0.53,0.55,0.226
L 98-59 e,1.49,2.82,0.0712,12.8278,2.4,347.0,0.012,3415.0,0.3155,0.2923,0.402
L 98-59 f,1.48,2.8,0.1052,23.064,1.1,285.0,0.044,3415.0,0.3155,0.2923,0.698
LP 791-18 d,1.032,0.9,0.01992,2.753436,5.83,395.5,0.0015,2960.0,0.182,0.139,0.5686
Proxima Cen b,1.02,1.055,0.04848,11.18465,0.641,218.0,0.0,2900.0,0.141,0.1221,0.7787
Proxima Cen d,0.692,0.26,0.02881,5.12338,1.814,282.0,0.0,2900.0,0.141,0.1221,0.6896
Ross 128 b,1.11,1.4,0.0496,9.8658,1.38,301.0,0.116,3192.0,0.1967,0.168,0.836
TOI-1266 c,1.98,3.17,0.105,18.8027,2.42,346.0,0.071,3563.0,0.4232,0.437,0.288
TOI-1266 d,1.74,3.68,0.1513,32.509,1.3,288.0,0.087,3563.0,0.4232,0.437,0.592
TOI-1452 b,1.672,4.82,0.061,11.06201,1.8,326.0,0.0,3185.0,0.275,0.249,0.4295999999999999
TOI-1468 c,2.126,4.1,0.08608,15.532477,2.13,338.1,0.111,3376.0,0.3714,0.3527,0.2746
TOI-198 b,1.44,2.67,0.1,10.2152,7.4195,368.0,,3650.0,0.441,0.467,0.385
TOI-2095 b,1.25,4.1,0.101,17.66484,3.43,347.0,0.0,3759.0,0.44,0.44,0.432
TOI-2096 c,1.914,4.32,0.04,6.38784,3.7,349.0,0.1,3300.0,0.235,0.231,0.29519999999999996
TOI-237 b,1.44,2.67,0.0341,5.436098,3.7,388.0,0.0,3212.0,0.211,0.179,0.3450000000000001
TOI-270 d,2.0,4.2,0.0721,11.38194,3.918,383.0,0.0066,3506.0,0.38,0.386,0.21000000000000002
TOI-5713 b,1.77,3.78,0.06008,10.441989,2.2554,347.2,0.24,3225.0,0.2992,0.2653,0.3276
TOI-6002 b,1.65,3.36,0.05722,10.904821,1.6823,321.4,0.15,3229.0,0.2432,0.2101,0.46674000000000004
TOI-700 d,1.073,1.25,0.1633,37.42396,0.85,268.8,0.042,3459.0,0.421,0.415,0.892
TOI-700 e,0.953,0.818,0.134,27.80978,1.27,272.9,0.059,3459.0,0.421,0.415,0.8881999999999999
TOI-715 b,1.55,3.02,0.083,19.288004,0.67,234.0,,3075.0,0.24,0.225,0.516
TOI-771 c,1.5,2.87,0.046,7.61,3.0,365.0,0.065,3370.0,0.232,0.22,0.359
TRAPPIST-1 b,1.116,1.374,0.01154,1.510826,4.153,397.6,0.00622,2566.0,0.1192,0.0898,0.5201999999999999
TRAPPIST-1 c,1.097,1.308,0.0158,2.421937,2.214,339.7,0.00654,2566.0,0.1192,0.0898,0.6464000000000001
TRAPPIST-1 d,0.788,0.388,0.02227,4.049219,1.115,286.2,0.00837,2566.0,0.1192,0.0898,0.8698
TRAPPIST-1 e,0.92,0.692,0.02925,6.101013,0.646,249.7,0.0051,2566.0,0.1192,0.0898,0.8058
TRAPPIST-1 f,1.045,1.039,0.03849,9.20754,0.373,217.7,0.01007,2566.0,0.1192,0.0898,0.7211000000000001
TRAPPIST-1 g,1.129,1.321,0.04683,12.352446,0.252,197.3,0.00208,2566.0,0.1192,0.0898,0.6111000000000001
TRAPPIST-1 h,0.755,0.326,0.06189,18.772866,0.144,171.7,0.00567,2566.0,0.1192,0.0898,0.4798
Teegarden's Star b,1.05,1.16,0.0259,4.90634,1.08,277.0,0.03,3034.0,0.12,0.097,0.936
Teegarden's Star c,1.02,1.05,0.0455,11.416,0.35,209.0,0.04,3034.0,0.12,0.097,0.7030000000000001
Teegarden's Star d,0.954,0.82,0.0791,26.13,0.12,159.0,0.07,3034.0,0.12,0.097,0.5388
Wolf 1069 b,1.08,1.26,0.0672,15.564,0.652,250.1,,3158.0,0.1813,0.167,0.8126000000000001
YZ Cet d,1.03,1.09,0.02851,4.65626,2.7,356.7,0.07,3151.0,0.157,0.142,0.6476
